PRS-B	L.
0	pugnae
0	,
0	cum
0	sub
0	oculis
0	omnium
0	ac
0	pro
0	castris
0	dimicaretur
0	,
0	intellectum
0	est
0	nostros
0	propter
0	gravitatem
0	armorum
0	,
0	quod
0	neque
0	insequi
0	cedentes
0	possent
0	neque
0	ab
0	signis
0	discedere
0	auderent
0	,
0	minus
0	aptos
0	esse
0	ad
0	huius
0	generis
0	hostem
0	,
0	equites
0	autem
0	magno
0	cum
0	periculo
0	proelio
0	dimicare
0	,
0	propterea
0	quod
0	illi
0	etiam
0	consulto
0	plerumque
0	cederent
0	et
0	,
0	cum
0	paulum
0	ab
0	legionibus
0	nostros
0	removissent
0	,
0	ex
0	essedis
0	desilirent
0	et
0	pedibus
0	dispari
0	proelio
0	contenderent
0	.

0	Equestris
0	autem
0	proeli
0	ratio
0	et
0	cedentibus
0	et
0	insequentibus
0	par
0	atque
0	idem
0	periculum
0	inferebat
0	.

0	Accedebat
0	huc
0	ut
0	numquam
0	conferti
0	sed
0	rari
0	magnisque
0	intervallis
0	proeliarentur
0	stationesque
0	dispositas
0	haberent
0	,
0	atque
0	alios
0	alii
0	deinceps
0	exciperent
0	,
0	integrique
0	et
0	recentes
0	defetigatis
0	succederent
0	.

0	Postero
0	die
0	procul
0	a
0	castris
0	hostes
0	in
0	collibus
0	constiterunt
0	rarique
0	se
0	ostendere
0	et
0	lenius
0	quam
0	pridie
0	nostros
0	equites
0	proelio
0	lacessere
0	coeperunt
0	.

0	Sed
0	meridie
0	,
0	cum
PRS-B	Caesar
0	pabulandi
0	causa
0	tres
0	legiones
0	atque
0	omnem
0	equitatum
0	cum
PRS-B	Gaio
PRS-I	Trebonio
0	legato
0	misisset
0	,
0	repente
0	ex
0	omnibus
0	partibus
0	ad
0	pabulatores
0	advolaverunt
0	,
0	sic
0	uti
0	ab
0	signis
0	legionibusque
0	non
0	absisterent
0	.

0	Nostri
0	acriter
0	in
0	eos
0	impetu
0	facto
0	reppulerunt
0	neque
0	finem
0	sequendi
0	fecerunt
0	,
0	quoad
0	subsidio
0	confisi
0	equites
0	,
0	cum
0	post
0	se
0	legiones
0	viderent
0	,
0	praecipites
0	hostes
0	egerunt
0	magnoque
0	eorum
0	numero
0	interfecto
0	neque
0	sui
0	colligendi
0	neque
0	consistendi
0	aut
0	ex
0	essedis
0	desiliendi
0	facultatem
0	dederunt
0	.

0	Ex
0	hac
0	fuga
0	protinus
0	,
0	quae
0	undique
0	convenerant
0	,
0	auxilia
0	discesserunt
0	,
0	neque
0	post
0	id
0	tempus
0	umquam
0	summis
0	nobiscum
0	copiis
0	hostes
0	contenderunt
0	.

PRS-B	Caesar
0	cognito
0	consilio
0	eorum
0	ad
0	flumen
GEO-B	Tamesim
0	in
0	fines
PRS-B	Cassivellauni
0	exercitum
0	duxit
0	;

0	quod
0	flumen
0	uno
0	omnino
0	loco
0	pedibus
0	,
0	atque
0	hoc
0	aegre
0	,
0	transiri
0	potest
0	.

0	Eo
0	cum
0	venisset
0	,
0	animum
0	advertit
0	ad
0	alteram
0	fluminis
0	ripam
0	magnas
0	esse
0	copias
0	hostium
0	instructas
0	;

0	ripa
0	autem
0	erat
0	acutis
0	sudibus
0	praefixis
0	munita
0	,
0	eiusdemque
0	generis
0	sub
0	aqua
0	defixae
0	sudes
0	flumine
0	tegebantur
0	.

0	His
0	rebus
0	cognitis
0	a
0	captivis
0	perfugisque
PRS-B	Caesar
0	praemisso
0	equitatu
0	confestim
0	legiones
0	subsequi
0	iussit
0	.

0	Sed
0	ea
0	celeritate
0	atque
0	eo
0	impetu
0	milites
0	ierunt
0	,
0	cum
0	capite
0	solo
0	ex
0	aqua
0	exstarent
0	,
0	ut
0	hostes
0	impetum
0	legionum
0	atque
0	equitum
0	sustinere
0	non
0	possent
0	ripasque
0	dimitterent
0	ac
0	se
0	fugae
0	mandarent
0	.

PRS-B	Cassivellaunus
0	,
0	ut
0	supra
0	demonstravimus
0	,
0	omni
0	deposita
0	spe
0	contentionis
0	dimissis
0	amplioribus
0	copiis
0	milibus
0	circiter
0	quattuor
0	essedariorum
0	relictis
0	itinera
0	nostra
0	servabat
0	paulumque
0	ex
0	via
0	excedebat
0	locisque
0	impeditis
0	ac
0	silvestribus
0	sese
0	occultabat
0	,
0	atque
0	eis
0	regionibus
0	quibus
0	nos
0	iter
0	facturos
0	cognoverat
0	pecora
0	atque
0	homines
0	ex
0	agris
0	in
0	silvas
0	compellebat
0	et
0	,
0	cum
0	equitatus
0	noster
0	liberius
0	praedandi
0	vastandique
0	causa
0	se
0	in
0	agros
0	eiecerat
0	,
0	omnibus
0	viis
0	semitisque
0	essedarios
0	ex
0	silvis
0	emittebat
0	et
0	magno
0	cum
0	periculo
0	nostrorum
0	equitum
0	cum
0	eis
0	confligebat
0	atque
0	hoc
0	metu
0	latius
0	vagari
0	prohibebat
0	.

0	Relinquebatur
0	ut
0	neque
0	longius
0	ab
0	agmine
0	legionum
0	discedi
PRS-B	Caesar
0	pateretur
0	,
0	et
0	tantum
0	in
0	agris
0	vastandis
0	incendiisque
0	faciendis
0	hostibus
0	noceretur
0	,
0	quantum
0	labore
0	atque
0	itinere
0	legionarii
0	milites
0	efficere
0	poterant
0	.

0	Interim
GRP-B	Trinobantes
0	,
0	prope
0	firmissima
0	earum
0	regionum
0	civitas
0	,
0	ex
0	qua
PRS-B	Mandubracius
0	adulescens
PRS-B	Caesaris
0	fidem
0	secutus
0	ad
0	eum
0	in
0	continentem
GEO-B	Galliam
0	venerat
0	,
0	cuius
0	pater
0	in
0	ea
0	civitate
0	regnum
0	obtinuerat
0	interfectusque
0	erat
0	a
PRS-B	Cassivellauno
0	,
0	ipse
0	fuga
0	mortem
0	vitaverat
0	,
0	legatos
0	ad
PRS-B	Caesarem
0	mittunt
0	pollicenturque
0	sese
0	ei
0	dedituros
0	atque
0	imperata
0	facturos
0	;

0	petunt
0	ut
PRS-B	Mandubracium
0	ab
0	iniuria
PRS-B	Cassivellauni
0	defendat
0	atque
0	in
0	civitatem
0	mittat
0	,
0	qui
0	praesit
0	imperiumque
0	obtineat
0	.

0	His
PRS-B	Caesar
0	imperat
0	obsides
0	quadraginta
0	frumentumque
0	exercitui
PRS-B	Mandubraciumque
0	ad
0	eos
0	mittit
0	.

0	Illi
0	imperata
0	celeriter
0	fecerunt
0	,
0	obsides
0	ad
0	numerum
0	frumentumque
0	miserunt
0	.

GRP-B	Trinobantibus
0	defensis
0	atque
0	ab
0	omni
0	militum
0	iniuria
0	prohibitis
GRP-B	Cenimagni
0	,
GRP-B	Segontiaci
0	,
GRP-B	Ancalites
0	,
GRP-B	Bibroci
0	,
GRP-B	Cassi
0	legationibus
0	missis
0	sese
PRS-B	Caesari
0	dedunt
0	.

0	Ab
0	his
0	cognoscit
0	non
0	longe
0	ex
0	eo
0	loco
0	oppidum
PRS-B	Cassivellauni
0	abesse
0	silvis
0	paludibusque
0	munitum
0	,
0	quo
0	satis
0	magnus
0	hominum
0	pecorisque
0	numerus
0	convenerit
0	.

0	Oppidum
0	autem
GRP-B	Britanni
0	vocant
0	,
0	cum
0	silvas
0	impeditas
0	vallo
0	atque
0	fossa
0	munierunt
0	,
0	quo
0	incursionis
0	hostium
0	vitandae
0	causa
0	convenire
0	consuerunt
0	.

0	Eo
0	proficiscitur
0	cum
0	legionibus
0	<COLON>
0	locum
0	reperit
0	egregie
0	natura
0	atque
0	opere
0	munitum
0	;

0	tamen
0	hunc
0	duabus
0	ex
0	partibus
0	oppugnare
0	contendit
0	.

0	Hostes
0	paulisper
0	morati
0	militum
0	nostrorum
0	impetum
0	non
0	tulerunt
0	seseque
0	alia
0	ex
0	parte
0	oppidi
0	eiecerunt
0	.

0	Magnus
0	ibi
0	numerus
0	pecoris
0	repertus
0	,
0	multique
0	in
0	fuga
0	sunt
0	comprehensi
0	atque
0	interfecti
0	.

0	Dum
0	haec
0	in
0	his
0	locis
0	geruntur
0	,
PRS-B	Cassivellaunus
0	ad
GEO-B	Cantium
0	,
0	quod
0	esse
0	ad
0	mare
0	supra
0	demonstravimus
0	,
0	quibus
0	regionibus
0	quattuor
0	reges
0	praeerant
0	,
PRS-B	Cingetorix
0	,
PRS-B	Carvilius
0	,
PRS-B	Taximagulus
0	,
PRS-B	Segovax
0	,
0	nuntios
0	mittit
0	atque
0	eis
0	imperat
0	uti
0	coactis
0	omnibus
0	copiis
0	castra
0	navalia
0	de
0	improviso
0	adoriantur
0	atque
0	oppugnent
0	.

0	Ei
0	cum
0	ad
0	castra
0	venissent
0	,
0	nostri
0	eruptione
0	facta
0	multis
0	eorum
0	interfectis
0	,
0	capto
0	etiam
0	nobili
0	duce
PRS-B	Lugotorige
0	suos
0	incolumes
0	reduxerunt
0	.

PRS-B	Cassivellaunus
0	hoc
0	proelio
0	nuntiato
0	tot
0	detrimentis
0	acceptis
0	,
0	vastatis
0	finibus
0	,
0	maxime
0	etiam
0	permotus
0	defectione
0	civitatum
0	legatos
0	per
GRP-B	Atrebatem
PRS-B	Commium
0	de
0	deditione
0	ad
PRS-B	Caesarem
0	mittit
0	.

PRS-B	Caesar
0	,
0	cum
0	constituisset
0	hiemare
0	in
0	continenti
0	propter
0	repentinos
GEO-B	Galliae
0	motus
0	,
0	neque
0	multum
0	aestatis
0	superesset
0	,
0	atque
0	id
0	facile
0	extrahi
0	posse
0	intellegeret
0	,
0	obsides
0	imperat
0	et
0	quid
0	in
0	annos
0	singulos
0	vectigalis
0	populo
GRP-B	Romano
GEO-B	Britannia
0	penderet
0	constituit
0	;

0	interdicit
0	atque
0	imperat
PRS-B	Cassivellauno
0	,
0	ne
PRS-B	Mandubracio
0	neu
GRP-B	Trinobantibus
0	noceat
0	.

0	Obsidibus
0	acceptis
0	exercitum
0	reducit
0	ad
0	mare
0	,
0	naves
0	invenit
0	refectas
0	.

0	His
0	deductis
0	,
0	quod
0	et
0	captivorum
0	magnum
0	numerum
0	habebat
0	,
0	et
0	nonnullae
0	tempestate
0	deperierant
0	naves
0	,
0	duobus
0	commeatibus
0	exercitum
0	reportare
0	instituit
0	.

0	Ac
0	sic
0	accidit
0	,
0	uti
0	ex
0	tanto
0	navium
0	numero
0	tot
0	navigationibus
0	neque
0	hoc
0	neque
0	superiore
0	anno
0	ulla
0	omnino
0	navis
0	,
0	quae
0	milites
0	portaret
0	,
0	desideraretur
0	;

0	at
0	ex
0	eis
0	,
0	quae
0	inanes
0	ex
0	continenti
0	ad
0	eum
0	remitterentur
0	et
0	prioris
0	commeatus
0	expositis
0	militibus
0	et
0	quas
0	postea
PRS-B	Labienus
0	faciendas
0	curaverat
0	numero
0	LX
0	,
0	perpaucae
0	locum
0	caperent
0	,
0	reliquae
0	fere
0	omnes
0	reicerentur
0	.

0	Quas
0	cum
0	aliquamdiu
PRS-B	Caesar
0	frustra
0	exspectasset
0	,
0	ne
0	anni
0	tempore
0	a
0	navigatione
0	excluderetur
0	,
0	quod
0	aequinoctium
0	suberat
0	,
0	necessario
0	angustius
0	milites
0	collocavit
0	ac
0	summa
0	tranquillitate
0	consecuta
0	,
0	secunda
0	inita
0	cum
0	solvisset
0	vigilia
0	,
0	prima
0	luce
0	terram
0	attigit
0	omnesque
0	incolumes
0	naves
0	perduxit
0	.

0	Subductis
0	navibus
0	concilioque
GRP-B	Gallorum
GEO-B	Samarobrivae
0	peracto
0	,
0	quod
0	eo
0	anno
0	frumentum
0	in
GEO-B	Gallia
0	propter
0	siccitates
0	angustius
0	provenerat
0	,
0	coactus
0	est
0	aliter
0	ac
0	superioribus
0	annis
0	exercitum
0	in
0	hibernis
0	collocare
0	legionesque
0	in
0	plures
0	civitates
0	distribuere
0	;

0	ex
0	quibus
0	unam
0	in
GRP-B	Morinos
0	ducendam
PRS-B	Gaio
PRS-I	Fabio
0	legato
0	dedit
0	,
0	alteram
0	in
GRP-B	Nervios
PRS-B	Quinto
PRS-I	Ciceroni
0	,
0	tertiam
0	in
GRP-B	Esubios
PRS-B	Lucio
PRS-I	Roscio
0	;

0	quartam
0	in
GRP-B	Remis
0	cum
PRS-B	Tito
PRS-I	Labieno
0	in
0	confinio
GRP-B	Treverorum
0	hiemare
0	iussit
0	.

0	Tres
0	in
GRP-B	Belgis
0	collocavit
0	<COLON>
0	eis
PRS-B	Marcum
PRS-I	Crassum
0	quaestorem
0	et
PRS-B	Lucium
PRS-I	Munatium
PRS-I	Plancum
0	et
PRS-B	Gaium
PRS-I	Trebonium
0	legatos
0	praefecit
0	.

0	Vnam
0	legionem
0	,
0	quam
0	proxime
0	trans
GEO-B	Padum
0	conscripserat
0	,
0	et
0	cohortes
0	V
0	in
GRP-B	Eburones
0	,
0	quorum
0	pars
0	maxima
0	est
0	inter
GEO-B	Mosam
0	ac
GEO-B	Rhenum
0	,
0	qui
0	sub
0	imperio
PRS-B	Ambiorigis
0	et
PRS-B	Catuvolci
0	erant
0	,
0	misit
0	.

0	Eis
0	militibus
PRS-B	Quintum
PRS-I	Titurium
PRS-I	Sabinum
0	et
PRS-B	Lucium
PRS-I	Aurunculeium
PRS-I	Cottam
0	legatos
0	praeesse
0	iussit
0	.

0	Ad
0	hunc
0	modum
0	distributis
0	legionibus
0	facillime
0	inopiae
0	frumentariae
0	sese
0	mederi
0	posse
0	existimavit
0	.

0	Atque
0	harum
0	tamen
0	omnium
0	legionum
0	hiberna
0	praeter
0	eam
0	,
0	quam
PRS-B	Lucio
PRS-I	Roscio
0	im
0	pacatissimam
0	et
0	quietissimam
0	partem
0	ducendam
0	dederat
0	,
0	milibus
0	passuum
0	centum
0	continebantur
0	.

0	Ipse
0	interea
0	,
0	quoad
0	legiones
0	collocatas
0	munitaque
0	hiberna
0	cognovisset
0	,
0	in
GEO-B	Gallia
0	morari
0	constituit
0	.

0	Erat
0	in
GRP-B	Carnutibus
0	summo
0	loco
0	natus
PRS-B	Tasgetius
0	,
0	cuius
0	maiores
0	in
0	sua
0	civitate
0	regnum
0	obtinuerant
0	.

0	Huic
PRS-B	Caesar
0	pro
0	eius
0	virtute
0	atque
0	in
0	se
0	benevolentia
0	,
0	quod
0	in
0	omnibus
0	bellis
0	singulari
0	eius
0	onera
0	fuerat
0	usus
0	,
0	maiorum
0	locum
0	restituerat
0	.

0	Tertium
0	iam
0	hunc
0	annum
0	regnantem
0	inimici
0	,
0	multis
0	palam
0	ex
0	civitate
0	eius
0	auctoribus
0	,
0	eum
0	interfecerunt
0	.

0	Defertur
0	ea
0	res
0	ad
PRS-B	Caesarem
0	.

0	Ille
0	veritus
0	,
0	quod
0	ad
0	plures
0	pertinebat
0	,
0	ne
0	civitas
0	eorum
0	impulsu
0	deficeret
0	,
PRS-B	Lucium
PRS-I	Plancum
0	cum
0	legione
0	ex
GRP-B	Belgio
0	celeriter
0	in
GRP-B	Carnutes
0	proficisci
0	iubet
0	ibique
0	hiemare
0	quorumque
0	opera
0	cognoverat
PRS-B	Tasgetium
0	interfectum
0	,
0	hos
0	comprehensos
0	ad
0	se
0	mittere
0	.

0	Interim
0	ab
0	omnibus
0	legatis
0	quaestoreque
0	,
0	quibus
0	legiones
0	tradiderat
0	,
0	certior
0	factus
0	est
0	in
0	hiberna
0	perventum
0	locumque
0	hibernis
0	esse
0	munitum
0	.

0	Diebus
0	circiter
0	XV
0	,
0	quibus
0	in
0	hiberna
0	ventum
0	est
0	,
0	initium
0	repentini
0	tumultus
0	ac
0	defectionis
0	ortum
0	est
0	ab
PRS-B	Ambiorige
0	et
PRS-B	Catuvolco
0	;

0	qui
0	,
0	cum
0	ad
0	fines
0	regni
0	sui
PRS-B	Sabino
PRS-B	Cottaeque
0	praesto
0	fuissent
0	frumentumque
0	in
0	hiberna
0	comportavissent
0	,
PRS-B	Indutiomari
GRP-B	Treveri
0	nuntiis
0	impulsi
0	suos
0	concitaverunt
0	subitoque
0	oppressis
0	lignatoribus
0	magna
0	manu
0	ad
0	castra
0	oppugnatum
0	venerunt
0	.

0	Cum
0	celeriter
0	nostri
0	arma
0	cepissent
0	vallumque
0	adscendissent
0	atque
0	una
0	ex
0	parte
GRP-B	Hispanis
0	equitibus
0	emissis
0	equestri
0	proelio
0	superiores
0	fuissent
0	,
0	desperata
0	re
0	hostes
0	suos
0	ab
0	oppugnatione
0	reduxerunt
0	.

0	Tum
0	suo
0	more
0	conclamaverunt
0	,
0	uti
0	aliqui
0	ex
0	nostris
0	ad
0	colloquium
0	prodiret
0	<COLON>
0	habere
0	sese
0	,
0	quae
0	de
0	re
0	communi
0	dicere
0	vellent
0	,
0	quibus
0	rebus
0	controversias
0	minui
0	posse
0	sperarent
0	.

0	Mittitur
0	ad
0	eos
0	colloquendi
0	causa
PRS-B	Gaius
PRS-I	Arpineius
0	,
0	eques
GRP-B	Romanus
0	,
0	familiaris
PRS-B	Quinti
PRS-I	Tituri
0	,
0	et
PRS-B	Quintus
PRS-I	Iunius
0	ex
GEO-B	Hispania
0	quidam
0	,
0	qui
0	iam
0	ante
0	missu
PRS-B	Caesaris
0	ad
PRS-B	Ambiorigem
0	ventitare
0	consuerat
0	;

0	apud
0	quos
PRS-B	Ambiorix
0	ad
0	hunc
0	modum
0	locutus
0	est
0	<COLON>
0	sese
0	pro
PRS-B	Caesaris
0	in
0	se
0	beneficiis
0	plurimum
0	ei
0	confiteri
0	debere
0	,
0	quod
0	eius
0	opera
0	stipendio
0	liberatus
0	esset
0	,
0	quod
GRP-B	Aduatucis
0	,
0	finitimis
0	suis
0	,
0	pendere
0	consuesset
0	,
0	quodque
0	ei
0	et
0	filius
0	et
0	fratris
0	filius
0	ab
PRS-B	Caesare
0	remissi
0	essent
0	,
0	quos
GRP-B	Aduatuci
0	obsidum
0	numero
0	missos
0	apud
0	se
0	in
0	servitute
0	et
0	catenis
0	tenuissent
0	;

0	neque
0	id
0	,
0	quod
0	fecerit
0	de
0	oppugnatione
0	castrorum
0	,
0	aut
0	iudicio
0	aut
0	voluntate
0	sua
0	fecisse
0	,
0	sed
0	coactu
0	civitatis
0	,
0	suaque
0	esse
0	eiusmodi
0	imperia
0	,
0	ut
0	non
0	minus
0	haberet
0	iuris
0	in
0	se
0	multitudo
0	quam
0	ipse
0	in
0	multitudinem
0	.

0	Civitati
0	porro
0	hanc
0	fuisse
0	belli
0	causam
0	,
0	quod
0	repentinae
GRP-B	Gallorum
0	coniurationi
0	resistere
0	non
0	potuerit
0	.

0	Id
0	se
0	facile
0	ex
0	humilitate
0	sua
0	probare
0	posse
0	,
0	quod
0	non
0	adeo
0	sit
0	imperitus
0	rerum
0	ut
0	suis
0	copiis
0	populum
GRP-B	Romanum
0	superari
0	posse
0	confidat
0	.

0	Sed
0	esse
GEO-B	Galliae
0	commune
0	consilium
0	<COLON>
0	omnibus
0	hibernis
PRS-B	Caesaris
0	oppugnandis
0	hunc
0	esse
0	dictum
0	diem
0	,
0	ne
0	qua
0	legio
0	alterae
0	legioni
0	subsidio
0	venire
0	posset
0	;

0	non
0	facile
GRP-B	Gallos
GRP-B	Gallis
0	negare
0	potuisse
0	,
0	praesertim
0	cum
0	de
0	recuperanda
0	communi
0	libertate
0	consilium
0	initum
0	videretur
0	.

0	Quibus
0	quoniam
0	pro
0	pietate
0	satisfecerit
0	,
0	habere
0	nunc
0	se
0	rationem
0	offici
0	pro
0	beneficiis
PRS-B	Caesaris
0	<COLON>
0	monere
0	,
0	orare
PRS-B	Titurium
0	pro
0	hospitio
0	,
0	ut
0	suae
0	ac
0	militum
0	saluti
0	consulat
0	.

0	Magnam
0	manum
GRP-B	Germanorum
0	conductam
GEO-B	Rhenum
0	transisse
0	;

0	hanc
0	adfore
0	biduo
0	.

0	Ipsorum
0	esse
0	consilium
0	,
0	velintne
0	priusquam
0	finitimi
0	sentiant
0	eductos
0	ex
0	hibernis
0	milites
0	aut
0	ad
PRS-B	Ciceronem
0	aut
0	ad
PRS-B	Labienum
0	deducere
0	,
0	quorum
0	alter
0	milia
0	passuum
0	circiter
0	quinquaginta
0	,
0	alter
0	paulo
0	amplius
0	ab
0	eis
0	absit
0	.

0	Illud
0	se
0	polliceri
0	et
0	iureiurando
0	confirmare
0	tutum
0	iter
0	per
0	fines
0	daturum
0	;

0	quod
0	cum
0	faciat
0	,
0	et
0	civitati
0	sese
0	consulere
0	,
0	quod
0	hibernis
0	levetur
0	,
0	et
PRS-B	Caesari
0	pro
0	eius
0	meritis
0	gratiam
0	referre
0	.

0	Hac
0	oratione
0	habita
0	discedit
PRS-B	Ambiorix
0	.

PRS-B	Arpineius
0	et
PRS-B	Iunius
0	,
0	quae
0	audierunt
0	,
0	ad
0	legatos
0	deferunt
0	.

0	Illi
0	repentina
0	re
0	perturbati
0	,
0	etsi
0	ab
0	hoste
0	ea
0	dicebantur
0	,
0	tamen
0	non
0	neglegenda
0	existimabant
0	maximeque
0	hac
0	re
0	permovebantur
0	,
0	quod
0	civitatem
0	ignobilem
0	atque
0	humilem
GRP-B	Eburonum
0	sua
0	sponte
0	populo
GRP-B	Romano
0	bellum
0	facere
0	ausam
0	vix
0	erat
0	credendum
0	.

0	Itaque
0	ad
0	consilium
0	rem
0	deferunt
0	magnaque
0	inter
0	eos
0	exsistit
0	controversia
0	.

PRS-B	Lucius
PRS-I	Aurunculeius
0	compluresque
0	tribuni
0	militum
0	et
0	primorum
0	ordinum
0	centuriones
0	nihil
0	temere
0	agendum
0	neque
0	ex
0	hibernis
0	iniussu
PRS-B	Caesaris
0	discedendum
0	existimabant
0	<COLON>
0	quantasvis
0	magnas
0	copias
0	etiam
GRP-B	Germanorum
0	sustineri
0	posse
0	munitis
0	hibernis
0	docebant
0	<COLON>
0	rem
0	esse
0	testimonio
0	,
0	quod
0	primum
0	hostium
0	impetum
0	multis
0	ultro
0	vulneribus
0	illatis
0	fortissime
0	sustinuerint
0	<COLON>
0	re
0	frumentaria
0	non
0	premi
0	;

0	interea
0	et
0	ex
0	proximis
0	hibernis
0	et
0	a
PRS-B	Caesare
0	conventura
0	subsidia
0	<COLON>
0	postremo
0	quid
0	esse
0	levius
0	aut
0	turpius
0	,
0	quam
0	auctore
0	hoste
0	de
0	summis
0	rebus
0	capere
0	consilium
0	?

0	Contra
0	ea
PRS-B	Titurius
0	sero
0	facturos
0	clamitabat
0	,
0	cum
0	maiores
0	manus
0	hostium
0	adiunctis
GRP-B	Germanis
0	convenissent
0	,
0	aut
0	cum
0	aliquid
0	calamitatis
0	in
0	proximis
0	hibernis
0	esset
0	acceptum
0	.

0	Brevem
0	consulendi
0	esse
0	occasionem
0	.

PRS-B	Caesarem
0	arbitrari
0	profectum
0	in
GEO-B	Italiam
0	;

0	neque
0	aliter
GRP-B	Carnutes
0	interficiendi
PRS-B	Tasgeti
0	consilium
0	fuisse
0	capturos
0	,
0	neque
GRP-B	Eburones
0	,
0	si
0	ille
0	adesset
0	,
0	tanta
0	contemptione
0	nostri
0	ad
0	castra
0	venturos
0	esse
0	.

0	Non
0	hostem
0	auctorem
0	,
0	sed
0	rem
0	spectare
0	<COLON>
0	subesse
GEO-B	Rhenum
0	;

0	magno
0	esse
GRP-B	Germanis
0	dolori
PRS-B	Ariovisti
0	mortem
0	et
0	superiores
0	nostras
0	victorias
0	;

0	ardere
GEO-B	Galliam
0	tot
0	contumeliis
0	acceptis
0	sub
0	populi
GRP-B	Romani
0	imperium
0	redactam
0	superiore
0	gloria
0	rei
0	militaris
0	exstincta
0	.

0	Postremo
0	quis
0	hoc
0	sibi
0	persuaderet
0	,
0	sine
0	certa
0	re
PRS-B	Ambiorigem
0	ad
0	eiusmodi
0	consilium
0	descendisse
0	?

0	Suam
0	sententiam
0	in
0	utramque
0	partem
0	esse
0	tutam
0	<COLON>
0	si
0	nihil
0	esset
0	durius
0	,
0	nullo
0	cum
0	periculo
0	ad
0	proximam
0	legionem
0	perventuros
0	;

0	si
GEO-B	Gallia
0	omnis
0	cum
GRP-B	Germanis
0	consentiret
0	,
0	unam
0	esse
0	in
0	celeritate
0	positam
0	salutem
0	.

PRS-B	Cottae
0	quidem
0	atque
0	eorum
0	,
0	qui
0	dissentirent
0	,
0	consilium
0	quem
0	habere
0	exitum
0	?

0	In
0	quo
0	si
0	non
0	praesens
0	periculum
0	,
0	at
0	certe
0	longinqua
0	obsidione
0	fames
0	esset
0	timenda
0	.

0	Hac
0	in
0	utramque
0	partem
0	disputatione
0	habita
0	,
0	cum
0	a
PRS-B	Cotta
0	primisque
0	ordinibus
0	acriter
0	resisteretur
0	,
0	"
0	Vincite
0	,
0	"
0	inquit
0	,
0	"
0	si
0	ita
0	vultis
0	,
0	"
PRS-B	Sabinus
0	,
0	et
0	id
0	clariore
0	voce
0	,
0	ut
0	magna
0	pars
0	militum
0	exaudiret
0	;

0	"
0	neque
0	is
0	sum
0	,
0	"
0	inquit
0	,
0	"
0	qui
0	gravissime
0	ex
0	vobis
0	mortis
0	periculo
0	terrear
0	<COLON>
0	hi
0	sapient
0	;

0	si
0	gravius
0	quid
0	acciderit
0	,
0	abs
0	te
0	rationem
0	reposcent
0	,
0	qui
0	,
0	si
0	per
0	te
0	liceat
0	,
0	perendino
0	die
0	cum
0	proximis
0	hibernis
0	coniuncti
0	communem
0	cum
0	reliquis
0	belli
0	casum
0	sustineant
0	,
0	non
0	reiecti
0	et
0	relegati
0	longe
0	ab
0	ceteris
0	aut
0	ferro
0	aut
0	fame
0	intereant
0	.
0	"

0	Consurgitur
0	ex
0	consilio
0	;

0	comprehendunt
0	utrumque
0	et
0	orant
0	,
0	ne
0	sua
0	dissensione
0	et
0	pertinacia
0	rem
0	in
0	summum
0	periculum
0	deducant
0	<COLON>
0	facilem
0	esse
0	rem
0	,
0	seu
0	maneant
0	,
0	seu
0	proficiscantur
0	,
0	si
0	modo
0	unum
0	omnes
0	sentiant
0	ac
0	probent
0	;

0	contra
0	in
0	dissensione
0	nullam
0	se
0	salutem
0	perspicere
0	.

0	Res
0	disputatione
0	ad
0	mediam
0	noctem
0	perducitur
0	.

0	Tandem
0	dat
PRS-B	Cotta
0	permotus
0	manus
0	<COLON>
0	superat
0	sententia
PRS-B	Sabini
0	.

0	Pronuntiatur
0	prima
0	luce
0	ituros
0	.

0	Consumitur
0	vigiliis
0	reliqua
0	pars
0	noctis
0	,
0	cum
0	sua
0	quisque
0	miles
0	circumspiceret
0	,
0	quid
0	secum
0	portare
0	posset
0	,
0	quid
0	ex
0	instrumento
0	hibernorum
0	relinquere
0	cogeretur
0	.

0	Omnia
0	excogitantur
0	,
0	quare
0	nec
0	sine
0	periculo
0	maneatur
0	,
0	et
0	languore
0	militum
0	et
0	vigiliis
0	periculum
0	augeatur
0	.

0	Prima
0	luce
0	sic
0	ex
0	castris
0	proficiscuntur
0	,
0	ut
0	quibus
0	esset
0	persuasum
0	non
0	ab
0	hoste
0	,
0	sed
0	ab
0	homine
0	amicissimo
PRS-B	Ambiorige
0	consilium
0	datum
0	,
0	longissimo
0	agmine
0	maximisque
0	impedimentis
0	.

0	At
0	hostes
0	,
0	posteaquam
0	ex
0	nocturno
0	fremitu
0	vigiliisque
0	de
0	profectione
0	eorum
0	senserunt
0	,
0	collocatis
0	insidiis
0	bipertito
0	in
0	silvis
0	opportuno
0	atque
0	occulto
0	loco
0	a
0	milibus
0	passuum
0	circiter
0	duobus
GRP-B	Romanorum
0	adventum
0	exspectabant
0	,
0	et
0	cum
0	se
0	maior
0	pars
0	agminis
0	in
0	magnam
0	convallem
0	demisisset
0	,
0	ex
0	utraque
0	parte
0	eius
0	vallis
0	subito
0	se
0	ostenderunt
0	novissimosque
0	premere
0	et
0	primos
0	prohibere
0	ascensu
0	atque
0	iniquissimo
0	nostris
0	loco
0	proelium
